Work	speech_id	book	line	spkr	addr	string	lemma	is_voc_CLTK	eval_CLTK	what it should be	token_spacy	lemma_spacy	pos_spacy	case_spacy	eval_spacy
Iliad	1	1	17	Chryses	Agamemnon, Greeks	Ἀτρεΐδαι	Ἀτρεΐδαι	FALSE	false negative		Ἀτρεΐδαι	ἀτρείδης	NOUN	Nom	false negative
Iliad	1	1	17	Chryses	Agamemnon, Greeks	τε	τε	FALSE	true negative		τε	τε	CCONJ		true negative
Iliad	1	1	17	Chryses	Agamemnon, Greeks	καὶ	καί	FALSE	true negative		καὶ	καί	CCONJ		true negative
Iliad	1	1	17	Chryses	Agamemnon, Greeks	ἄλλοι	ἄλλος	FALSE	false negative		ἄλλοι	ἄλλος	DET	Nom	false negative
Iliad	1	1	17	Chryses	Agamemnon, Greeks	ἐϋκνήμιδες	ἐϋκνήμις	FALSE	false negative		ἐϋκνήμιδες	ἐυκνήμις	ADJ	Voc	true positive
Iliad	1	1	17	Chryses	Agamemnon, Greeks	Ἀχαιοί	Ἀχαιός	FALSE	false negative		Ἀχαιοί	ἀχαιός	ADJ	Nom	false negative
Iliad	1	1	18	Chryses	Agamemnon, Greeks	ὑμῖν	ὑμεῖς	FALSE	true negative		ὑμῖν	ὑμεῖς	PRON	Dat	true negative
Iliad	1	1	18	Chryses	Agamemnon, Greeks	μὲν	μέν	FALSE	true negative		μὲν	μέν	ADV		true negative
Iliad	1	1	18	Chryses	Agamemnon, Greeks	θεοὶ	θεός	FALSE	true negative		θεοὶ	θεός	NOUN	Nom	true negative
Iliad	1	1	18	Chryses	Agamemnon, Greeks	δοῖεν	δίδωμι	FALSE	true negative		δοῖεν	δίδωμι	VERB		true negative
Iliad	1	1	18	Chryses	Agamemnon, Greeks	Ὀλύμπια	Ὀλύμπιος	FALSE	true negative		Ὀλύμπια	ὀλύμπιος	ADJ	Acc	true negative
Iliad	1	1	18	Chryses	Agamemnon, Greeks	δώματʼ	δῶμα	FALSE	true negative		δώματʼ	δώματʼ	ADJ	Acc	true negative
Iliad	1	1	18	Chryses	Agamemnon, Greeks	ἔχοντες	ἔχω	FALSE	true negative		ἔχοντες	ἔχω	VERB	Nom	true negative
Iliad	1	1	19	Chryses	Agamemnon, Greeks	ἐκπέρσαι	ἐκπείρω	FALSE	true negative		ἐκπέρσαι	ἐκπέρθω	VERB		true negative
Iliad	1	1	19	Chryses	Agamemnon, Greeks	Πριάμοιο	Πριάμοιον	FALSE	true negative		Πριάμοιο	πρίαμος	NOUN	Gen	true negative
Iliad	1	1	19	Chryses	Agamemnon, Greeks	πόλιν	πόλις	FALSE	true negative		πόλιν	πόλις	NOUN	Acc	true negative
Iliad	1	1	19	Chryses	Agamemnon, Greeks	εὖ	εὖ	FALSE	true negative		εὖ	εὖ	ADV		true negative
Iliad	1	1	19	Chryses	Agamemnon, Greeks	δʼ	δʼ	FALSE	true negative		δʼ	δʼ	PUNCT		true negative
Iliad	1	1	19	Chryses	Agamemnon, Greeks	οἴκαδʼ	οἶκα	FALSE	true negative		οἴκαδʼ	οἴκαδʼ	PUNCT		true negative
Iliad	1	1	19	Chryses	Agamemnon, Greeks	ἱκέσθαι	ἵκω	FALSE	true negative		ἱκέσθαι	ἱκνέομαι	VERB		true negative
Iliad	1	1	20	Chryses	Agamemnon, Greeks	παῖδα	παῖς	FALSE	true negative		παῖδα	παῖς	NOUN	Acc	true negative
Iliad	1	1	20	Chryses	Agamemnon, Greeks	δʼ	δʼ	FALSE	true negative		δʼ	δʼ	PUNCT		true negative
Iliad	1	1	20	Chryses	Agamemnon, Greeks	ἐμοὶ	ἐγώ	FALSE	true negative		ἐμοὶ	ἐγώ	PRON	Dat	true negative
Iliad	1	1	20	Chryses	Agamemnon, Greeks	λύσαιτε	λύω	FALSE	true negative		λύσαιτε	λύσαιτε	VERB		true negative
Iliad	1	1	20	Chryses	Agamemnon, Greeks	φίλην	φίλη	FALSE	true negative		φίλην	φίλος	ADJ	Acc	true negative
Iliad	1	1	20	Chryses	Agamemnon, Greeks	τὰ	ὁ	FALSE	true negative		τὰ	ὁ	DET	Acc	true negative
Iliad	1	1	20	Chryses	Agamemnon, Greeks	δʼ	δʼ	FALSE	true negative		δʼ	δʼ	PUNCT		true negative
Iliad	1	1	20	Chryses	Agamemnon, Greeks	ἄποινα	ἄποινα	FALSE	true negative		ἄποινα	ἄποινα	NOUN	Acc	true negative
Iliad	1	1	20	Chryses	Agamemnon, Greeks	δέχεσθαι	δέχομαι	FALSE	true negative		δέχεσθαι	δέχομαι	VERB		true negative
Iliad	1	1	21	Chryses	Agamemnon, Greeks	ἁζόμενοι	ἅζω	FALSE	true negative		ἁζόμενοι	ἁζόμενοι	VERB	Nom	true negative
Iliad	1	1	21	Chryses	Agamemnon, Greeks	Διὸς	Ζεύς	FALSE	true negative		Διὸς	ζεύς	NOUN	Gen	true negative
Iliad	1	1	21	Chryses	Agamemnon, Greeks	υἱὸν	υἱός	FALSE	true negative		υἱὸν	υἱός	NOUN	Acc	true negative
Iliad	1	1	21	Chryses	Agamemnon, Greeks	ἑκηβόλον	ἑκηβόλος	FALSE	true negative		ἑκηβόλον	ἑκηβόλος	ADJ	Acc	true negative
Iliad	1	1	21	Chryses	Agamemnon, Greeks	Ἀπόλλωνα	Ἀπόλλων	FALSE	true negative		Ἀπόλλωνα	ἀπόλλων	PROPN	Acc	true negative
Iliad	2	1	26	Agamemnon	Chryses	μή	μή	FALSE	true negative		μή	μή	ADV		true negative
Iliad	2	1	26	Agamemnon	Chryses	σε	σύ	FALSE	true negative		σε	σύ	PRON	Acc	true negative
Iliad	2	1	26	Agamemnon	Chryses	γέρον	γίγνομαι	FALSE	false negative		γέρον	γέρων	NOUN	Voc	true positive
Iliad	2	1	26	Agamemnon	Chryses	κοίλῃσιν	κοίλησις	FALSE	true negative		κοίλῃσιν	κοῖλος	ADJ	Dat	true negative
Iliad	2	1	26	Agamemnon	Chryses	ἐγὼ	ἐγώ	FALSE	true negative		ἐγὼ	ἐγώ	PRON	Nom	true negative
Iliad	2	1	26	Agamemnon	Chryses	παρὰ	παρά	FALSE	true negative		παρὰ	παρά	ADP		true negative
Iliad	2	1	26	Agamemnon	Chryses	νηυσὶ	ναῦς	FALSE	true negative		νηυσὶ	ναῦς	NOUN	Dat	true negative
Iliad	2	1	26	Agamemnon	Chryses	κιχείω	κιχείω	FALSE	true negative		κιχείω	κιχάνω	VERB		true negative
Iliad	2	1	27	Agamemnon	Chryses	ἢ	ἤ	FALSE	true negative		ἢ	ἤ	CCONJ		true negative
Iliad	2	1	27	Agamemnon	Chryses	νῦν	νῦν	FALSE	true negative		νῦν	νῦν	ADV		true negative
Iliad	2	1	27	Agamemnon	Chryses	δηθύνοντʼ	δηθύνω	FALSE	true negative		δηθύνοντʼ	δηθύνοντʼ	ADV		true negative
Iliad	2	1	27	Agamemnon	Chryses	ἢ	ἤ	FALSE	true negative		ἢ	ἤ	CCONJ		true negative
Iliad	2	1	27	Agamemnon	Chryses	ὕστερον	ὕστερος	FALSE	true negative		ὕστερον	ὕστερος	ADJ	Acc	true negative
Iliad	2	1	27	Agamemnon	Chryses	αὖτις	αὖθις	FALSE	true negative		αὖτις	αὖθις	ADV		true negative
Iliad	2	1	27	Agamemnon	Chryses	ἰόντα	εἶμι	FALSE	true negative		ἰόντα	εἶμι	VERB	Acc	true negative
Iliad	2	1	28	Agamemnon	Chryses	μή	μή	FALSE	true negative		μή	μή	ADV		true negative
Iliad	2	1	28	Agamemnon	Chryses	νύ	νύ	FALSE	true negative		νύ	νῦν	ADV		true negative
Iliad	2	1	28	Agamemnon	Chryses	τοι	σύ	FALSE	true negative		τοι	σύ	PRON	Dat	true negative
Iliad	2	1	28	Agamemnon	Chryses	οὐ	οὐ	FALSE	true negative		οὐ	οὐ	ADV		true negative
