Work	speech_id	book	line	spkr	addr	string	lemma	is_voc_CLTK	eval_CLTK	what it should be	token_spacy	lemma_spacy	pos_spacy	case_spacy	eval_spacy
Posthomerica	4048	1	100	Andromache	Andromache	ἆ	ἆ	FALSE	true negative		ἆ	ἆ	INTJ		true negative
Posthomerica	4048	1	100	Andromache	Andromache	δειλή	δειλή	TRUE	true positive		δειλή	δειλός	ADJ	Voc	true positive
Posthomerica	4048	1	100	Andromache	Andromache	τί	τίς	FALSE	true negative		τί	τίς	PRON	Acc	true negative
Posthomerica	4048	1	100	Andromache	Andromache	νυ	νυ	FALSE	true negative		νυ	νῦν	ADV		true negative
Posthomerica	4048	1	100	Andromache	Andromache	τόσσα	τόσσος	FALSE	true negative		τόσσα	τόσος	ADJ	Acc	true negative
Posthomerica	4048	1	100	Andromache	Andromache	μέγα	μέγας	FALSE	true negative		μέγα	μέγας	ADJ	Acc	true negative
Posthomerica	4048	1	100	Andromache	Andromache	φρονέουσʼ	φρονέω	FALSE	true negative		φρονέουσʼ	φρονέουσʼ	PUNCT		true negative
Posthomerica	4048	1	100	Andromache	Andromache	ἀγορεύεις	ἀγορεύω	FALSE	true negative		ἀγορεύεις	ἀγορεύω	VERB		true negative
Posthomerica	4048	1	101	Andromache	Andromache	οὐ	οὐ	FALSE	true negative		οὐ	οὐ	ADV		true negative
Posthomerica	4048	1	101	Andromache	Andromache	γάρ	γάρ	FALSE	true negative		γάρ	γάρ	PART		true negative
Posthomerica	4048	1	101	Andromache	Andromache	τοι	σύ	FALSE	true negative		τοι	σύ	PRON	Dat	true negative
Posthomerica	4048	1	101	Andromache	Andromache	σθένος	σθένος	FALSE	true negative		σθένος	σθένος	NOUN	Nom	true negative
Posthomerica	4048	1	101	Andromache	Andromache	ἐστὶν	εἰμί	FALSE	true negative		ἐστὶν	εἰμί	AUX		true negative
Posthomerica	4048	1	101	Andromache	Andromache	ἀταρβέϊ	ἀταρβεύς	FALSE	true negative		ἀταρβέϊ	ἀταρβέϊ	VERB		true negative
Posthomerica	4048	1	101	Andromache	Andromache	Πηλείωνι	Πηλείων	FALSE	true negative		Πηλείωνι	Πηλείων	PROPN	Dat	true negative
Posthomerica	4048	1	102	Andromache	Andromache	μάρνασθʼ	μαρνάνω	FALSE	true negative		μάρνασθʼ	μάρνασθʼ	CCONJ		true negative
Posthomerica	4048	1	102	Andromache	Andromache	ἀλλὰ	ἀλλά	FALSE	true negative		ἀλλὰ	ἀλλά	CCONJ		true negative
Posthomerica	4048	1	102	Andromache	Andromache	σοὶ	σύ	FALSE	true negative		σοὶ	σύ	PRON	Dat	true negative
Posthomerica	4048	1	102	Andromache	Andromache	ὦκα	ἥκω	FALSE	true negative		ὦκα	ὦκα	ADV		true negative
Posthomerica	4048	1	102	Andromache	Andromache	φόνον	φόνος	FALSE	true negative		φόνον	φόνος	NOUN	Acc	true negative
Posthomerica	4048	1	102	Andromache	Andromache	καὶ	καί	FALSE	true negative		καὶ	καί	CCONJ		true negative
Posthomerica	4048	1	102	Andromache	Andromache	λοιγὸν	λοιγός	FALSE	true negative		λοιγὸν	λοιγός	NOUN	Acc	true negative
Posthomerica	4048	1	102	Andromache	Andromache	ἐφήσει	φημί	FALSE	true negative		ἐφήσει	ἐφέω	VERB		true negative
Posthomerica	4048	1	103	Andromache	Andromache	λευγαλέη	λευγαλής	FALSE	true negative		λευγαλέη	λευγαλέη	ADJ	Nom	true negative
Posthomerica	4048	1	103	Andromache	Andromache	τί	τίς	FALSE	true negative		τί	τίς	PRON	Acc	true negative
Posthomerica	4048	1	103	Andromache	Andromache	μέμηνας	μαίνομαι	FALSE	true negative		μέμηνας	μέμηνας	VERB	Nom	true negative
Posthomerica	4048	1	103	Andromache	Andromache	ἀνὰ	ἀνά	FALSE	true negative		ἀνὰ	ἀνά	ADP		true negative
Posthomerica	4048	1	103	Andromache	Andromache	φρένας	φρήν	FALSE	true negative		φρένας	φρήν	NOUN	Acc	true negative
Posthomerica	4048	1	103	Andromache	Andromache	ἦ	ἦ	FALSE	true negative		ἦ	ἤ	CCONJ		true negative
Posthomerica	4048	1	103	Andromache	Andromache	νύ	νύ	FALSE	true negative		νύ	νῦν	ADV		true negative
Posthomerica	4048	1	103	Andromache	Andromache	τοι	σύ	FALSE	true negative		τοι	σύ	PRON	Dat	true negative
Posthomerica	4048	1	103	Andromache	Andromache	ἄγχι	ἄγχι	FALSE	true negative		ἄγχι	ἄγχι	ADP		true negative
Posthomerica	4048	1	104	Andromache	Andromache	ἕστηκευν	ἵστημι	FALSE	true negative		ἕστηκευν	ἕστηκευν	VERB		true negative
Posthomerica	4048	1	104	Andromache	Andromache	Θανάτοιο	Θάνατος	FALSE	true negative		Θανάτοιο	θάνατος	NOUN	Gen	true negative
Posthomerica	4048	1	104	Andromache	Andromache	τέλος	τέλος	FALSE	true negative		τέλος	τέλος	NOUN	Nom	true negative
Posthomerica	4048	1	104	Andromache	Andromache	καὶ	καί	FALSE	true negative		καὶ	καί	CCONJ		true negative
Posthomerica	4048	1	104	Andromache	Andromache	δαίμονος	δαίμων	FALSE	true negative		δαίμονος	δαίμων	NOUN	Gen	true negative
Posthomerica	4048	1	104	Andromache	Andromache	Αἶσα	Αἶσα	FALSE	true negative		Αἶσα	αἶσα	NOUN	Nom	true negative
Posthomerica	4048	1	105	Andromache	Andromache	Ἕκτωρ	Ἕκτωρ	FALSE	true negative		Ἕκτωρ	ἕκτωρ	NOUN	Nom	true negative
Posthomerica	4048	1	105	Andromache	Andromache	γὰρ	γάρ	FALSE	true negative		γὰρ	γάρ	ADV		true negative
Posthomerica	4048	1	105	Andromache	Andromache	σέο	σύ	FALSE	true negative		σέο	σύ	PRON	Gen	true negative
Posthomerica	4048	1	105	Andromache	Andromache	πολλὸν	πολύς	FALSE	true negative		πολλὸν	πολύς	ADJ	Acc	true negative
Posthomerica	4048	1	105	Andromache	Andromache	ὑπέρτερος	ὑπέρτερος	FALSE	true negative		ὑπέρτερος	ὑπέρτερος	ADJ	Nom	true negative
Posthomerica	4048	1	105	Andromache	Andromache	ἔπλετο	πλέω	FALSE	true negative		ἔπλετο	πέλω	VERB		true negative
Posthomerica	4048	1	105	Andromache	Andromache	δουρί	δουρί	FALSE	true negative		δουρί	δόρυ	NOUN	Dat	true negative
Posthomerica	4048	1	106	Andromache	Andromache	ἀλλʼ	ἀλλʼ	FALSE	true negative		ἀλλʼ	ἀλλʼ	PUNCT		true negative
Posthomerica	4048	1	106	Andromache	Andromache	ἐδάμη	δέμω	FALSE	true negative		ἐδάμη	δαμάζω	VERB		true negative
Posthomerica	4048	1	106	Andromache	Andromache	κρατερός	κρατερός	FALSE	true negative		κρατερός	κρατερός	ADJ	Nom	true negative
Posthomerica	4048	1	106	Andromache	Andromache	περ	πέρ	FALSE	true negative		περ	πέρ	PART		true negative
Posthomerica	4048	1	106	Andromache	Andromache	ἐών	εἰμί	FALSE	true negative		ἐών	εἰμί	AUX	Nom	true negative
Posthomerica	4048	1	106	Andromache	Andromache	μέγα	μέγας	FALSE	true negative		μέγα	μέγας	ADJ	Acc	true negative
Posthomerica	4048	1	106	Andromache	Andromache	δʼ	δʼ	FALSE	true negative		δʼ	δʼ	PUNCT		true negative
Posthomerica	4048	1	106	Andromache	Andromache	ἤκαχε	ἀκάχω	FALSE	true negative		ἤκαχε	ἀχεύω	VERB		true negative
Posthomerica	4048	1	106	Andromache	Andromache	Τρῶας	Τρα	FALSE	true negative		Τρῶας	τρώς	NOUN	Acc	true negative
Posthomerica	4048	1	107	Andromache	Andromache	οἵ	ὁ	FALSE	true negative		οἵ	ὅς	PRON	Nom	true negative
Posthomerica	4048	1	107	Andromache	Andromache	ἑ	οὗ	FALSE	true negative		ἑ	ἕ	PRON	Acc	true negative
Posthomerica	4048	1	107	Andromache	Andromache	θεὸν	θεός	FALSE	true negative		θεὸν	θεός	VERB		true negative
Posthomerica	4048	1	107	Andromache	Andromache	ὣς	ὡς	FALSE	true negative		ὣς	ὡς	ADV		true negative
Posthomerica	4048	1	107	Andromache	Andromache	πάντες	πᾶς	FALSE	true negative		πάντες	πᾶς	ADJ	Nom	true negative
Posthomerica	4048	1	107	Andromache	Andromache	ἀνὰ	ἀνά	FALSE	true negative		ἀνὰ	ἀνά	ADP		true negative
Posthomerica	4048	1	107	Andromache	Andromache	πτόλιν	πτόλις	FALSE	true negative		πτόλιν	πόλις	NOUN	Acc	true negative
Posthomerica	4048	1	107	Andromache	Andromache	εἰσορόωντο	εἰσοράω	FALSE	true negative		εἰσορόωντο	εἰσοράω	VERB		true negative
Posthomerica	4048	1	108	Andromache	Andromache	καί	καί	FALSE	true negative		καί	καί	CCONJ		true negative
Posthomerica	4048	1	108	Andromache	Andromache	μοι	ἐγώ	FALSE	true negative		μοι	ἐγώ	PRON	Dat	true negative
Posthomerica	4048	1	108	Andromache	Andromache	ἔην	εἰμί	FALSE	true negative		ἔην	εἰμί	AUX		true negative
Posthomerica	4048	1	108	Andromache	Andromache	μέγα	μέγας	FALSE	true negative		μέγα	μέγας	ADJ	Nom	true negative
Posthomerica	4048	1	108	Andromache	Andromache	κῦδος	κῦδος	FALSE	true negative		κῦδος	κῦδος	NOUN	Nom	true negative
Posthomerica	4048	1	108	Andromache	Andromache	ἰδʼ	ὁράω	FALSE	true negative		ἰδʼ	ἰδʼ	PUNCT		true negative
Posthomerica	4048	1	108	Andromache	Andromache	ἀντιθέοις	ἀντίθειος	FALSE	true negative		ἀντιθέοις	ἀντιθέος	ADJ	Dat	true negative
Posthomerica	4048	1	108	Andromache	Andromache	τοκέεσσι	τοκείς	FALSE	true negative		τοκέεσσι	τοκέος	NOUN	Dat	true negative
Posthomerica	4048	1	109	Andromache	Andromache	ζωὸς	ζωός	FALSE	true negative		ζωὸς	ζωός	ADJ	Nom	true negative
Posthomerica	4048	1	109	Andromache	Andromache	ἐών	εἰμί	FALSE	true negative		ἐών	εἰμί	AUX	Nom	true negative
Posthomerica	4048	1	109	Andromache	Andromache	ὡς	ὡς	FALSE	true negative		ὡς	ὡς	ADV		true negative
Posthomerica	4048	1	109	Andromache	Andromache	εἴ	εἰ	FALSE	true negative		εἴ	εἰ	SCONJ		true negative
Posthomerica	4048	1	109	Andromache	Andromache	με	ἐγώ	FALSE	true negative		με	ἐγώ	PRON	Acc	true negative
Posthomerica	4048	1	109	Andromache	Andromache	χυτὴ	χυτή	FALSE	true negative		χυτὴ	χυτός	ADJ	Nom	true negative
Posthomerica	4048	1	109	Andromache	Andromache	κατὰ	κατά	FALSE	true negative		κατὰ	κατά	ADP		true negative
Posthomerica	4048	1	109	Andromache	Andromache	γαῖα	γαῖον	FALSE	true negative		γαῖα	γαῖα	NOUN	Nom	true negative
